User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk
6732,male,36,S,Non_Verified,bicurious,Submisive,Men_and_Women,3,before_7_days,9.7.2012,4,00:37,3,0,0,"1,107,912,617,298,220,000,000,000",No_risk
83,male,"28,7",B,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,51,before_3_days,9.11.2009,96,231:18:00,0,0,0,"2,054,621,074",No_risk
8696,male,"41,7",A,Verified,Heterosexual,Dominant,Women,451,before_3_days,8.8.2012,771,09:19,0,0,33,"26,651,112,976,578,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
881,male,"40,8",K,Non_Verified,Heterosexual,Switch,Women,0,before_1_days,2.5.2010,0,01:09,0,0,2,31757,No_risk
9479,male,"31,8",A,Non_Verified,Homosexual,Switch,Men,268,before_64_days,25.8.2012,92,00:05,0,0,33,"114,762,192,850,739,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
9550,female,"49,9",B,Verified,bisexual,Dominant,Men_and_Women,429,before_89_days,27.8.2012,267,58:57:00,0,0,5,"24,606,829,233,611,000,000,000,000,000,000,000,000,000,000,000",No_risk
12262,male,"35,7",A,Non_Verified,Heterosexual,Submisive,Women,0,before_4_days,17.11.2012,0,00:00,0,0,0,,High_risk
12944,male,"41,1",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,before_1_days,11.12.2012,1,00:18,1,0,0,14888,High_risk
1353,male,"49,6",A,Non_Verified,Heterosexual,Submisive,Nobody,15,before_11_days,9.8.2010,0,00:00,0,0,0,,High_risk
13767,male,"27,9",A,Non_Verified,bicurious,Submisive,Nobody,5,before_6_days,8.1.2013,0,05:50,0,0,0,"24,866,443,418,537",High_risk
15172,male,"52,3",E,Non_Verified,Heterosexual,Submisive,Nobody,0,before_424_days,10.2.2013,0,00:00,0,0,0,,High_risk
17871,male,"27,3",F,Non_Verified,Heterosexual,Submisive,Women,15,before_1_days,12.5.2013,0,00:59,1,0,0,,High_risk
19635,female,45,A,Non_Verified,Heterosexual,Dominant,Nobody,25,before_11_days,14.7.2013,41,00:00,0,0,0,"117,082,211,119,542",High_risk
21180,female,"33,8",S,Non_Verified,bicurious,Switch,Men_and_Women,12,before_1306_days,13.9.2013,1,41:48:00,0,0,0,"212,241,660,421,252",High_risk
22592,male,"35,2",B,Non_Verified,Heterosexual,Submisive,Women,0,before_1255_days,11.11.2013,0,00:00,0,0,0,,High_risk
23282,male,"27,3",A,Non_Verified,bicurious,Submisive,Men_and_Women,28,before_4_days,11.12.2013,13,00:00,1,0,0,,High_risk
23362,male,"24,9",B,Verified,Heterosexual,Submisive,Women,512,before_4_days,14.12.2013,644,02:22,0,0,0,"226,738,587",High_risk
2460,male,"47,2",A,Non_Verified,Heterosexual,Submisive,Nobody,184,before_3_days,3.3.2011,222,491:51:00,0,0,4,"23178,16360,26316,17441,30348,29064,30310,28646,539,20407,3033,35969,5718,42259,42882,21404,13612,38536,13729,16740,17926,38116,35684,14888,43349,25775,34847,13998,15714,24407,6077,17231,20573,9550,22639,3985,41557,24960,15793,27148,16906,30821,21795,10651,21985,28235,24848,25678,13686,26971,15672,29038,19347,23540,39543,16649,22774,9752,24119,13645,28181,7801,34842,12011,6615,19248,23449,30429,28898,26863",High_risk
26123,male,"42,4",F,Non_Verified,bisexual,Submisive,Nobody_but_maybe,15,before_1_days,11.4.2014,0,30:27:00,1,0,0,"2,282,844,656",High_risk
34414,male,"34,3",A,Non_Verified,Heterosexual,Submisive,Women,25,before_1_days,1.4.2015,0,00:00,0,0,5,,High_risk
3474,male,"36,3",M,Verified,Heterosexual,Submisive,Nobody_but_maybe,307,before_2_days,1.9.2011,187,00:00,0,0,0,19366,High_risk
34922,male,30,B,Verified,Heterosexual,Submisive,Nobody_but_maybe,471,before_6_days,2.5.2015,294,01:44,0,0,19,,High_risk
35359,male,"36,1",A,Non_Verified,Heterosexual,Submisive,Women,48,before_3_days,24.5.2015,38,00:00,0,0,0,,High_risk
39099,male,"34,5",J,Non_Verified,Heterosexual,Switch,Women,50,before_1_days,19.12.2015,0,00:00,1,0,1,,High_risk
39386,male,"46,8",F,Non_Verified,Heterosexual,Switch,Women,55,before_3_days,3.1.2016,5,01:34,0,0,11,,High_risk
42730,female,"23,3",L,Verified,Heterosexual,Dominant,Nobody_but_maybe,318,before_1_days,7.7.2016,9,13:47,0,1,48,"417,864,607,422,593,000,000,000,000,000,000,000,000,000,000,000",High_risk
43155,female,"41,6",K,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,5,before_32_days,29.7.2016,8,00:21,1,0,0,,High_risk
43606,male,"28,6",A,Non_Verified,bicurious,Submisive,Women,68,before_3_days,23.8.2016,4,00:00,0,0,0,,High_risk
43811,male,"20,8",A,Non_Verified,bisexual,Submisive,Nobody,15,before_9_days,3.9.2016,0,00:00,0,0,0,,High_risk
44987,male,"37,7",A,Non_Verified,Heterosexual,Submisive,Women,15,before_3_days,31.10.2016,0,00:00,0,0,0,,High_risk
47131,male,"28,3",M,Non_Verified,bicurious,Submisive,Nobody,15,before_3_days,19.2.2017,0,00:00,0,0,0,,High_risk
48218,male,"43,4",H,Non_Verified,Heterosexual,Switch,Nobody,0,before_1_days,12.4.2017,0,00:00,0,0,0,,High_risk
5648,male,"41,4",K,Non_Verified,Homosexual,Submisive,Men,62,before_4_days,24.6.2012,30,00:00,0,0,7,"1,276,694,791,770,120,000",High_risk
5675,male,"36,2",N,Non_Verified,Heterosexual,Submisive,Women,52,before_1_days,28.6.2012,51,22:17,1,0,0,"2,903,826,863",High_risk
5782,male,"29,9",A,Non_Verified,Heterosexual,Submisive,Women,155,before_1_days,1.7.2012,209,00:46,0,0,0,39423,High_risk
6035,male,"52,3",A,Non_Verified,Heterosexual,Submisive,Women,114,before_1_days,2.7.2012,120,06:46,1,0,0,,High_risk
6288,female,"28,8",A,Non_Verified,bicurious,Dominant,Nobody,10,before_1_days,4.7.2012,11,00:02,0,0,0,,High_risk
9383,female,"34,2",L,Verified,Heterosexual,Switch,Nobody,1 626,before_3_days,22.8.2012,1 894,676:44:00,0,2,36,"17,011,213,572,166,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",High_risk
1,male,"32,4",J,Administrator,,,Nobody,664,before_1_days,10.5.2009,1 275,271:14:00,0,0,0,"659,752,451,941,048,000,000,000,000,000,000",High_risk
10001,male,"42,9",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1671_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10003,male,"47,4",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10006,male,"35,2",D,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,0,before_49_days,6.9.2012,0,00:01,0,0,0,,unknown_risk
10007,female,"28,6",B,Non_Verified,Heterosexual,Switch,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10009,male,"56,6",L,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10010,male,"47,4",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10011,male,"36,6",A,Non_Verified,bisexual,Dominant,Nobody,15,before_1679_days,6.9.2012,0,00:00,1,0,0,,unknown_risk
10012,male,"37,3",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1691_days,6.9.2012,0,01:25,0,0,0,,unknown_risk
10013,male,"27,3",B,Non_Verified,bisexual,Submisive,Nobody,43,before_37_days,6.9.2012,14,00:00,1,0,0,,unknown_risk
10014,male,"25,8",M,Non_Verified,Heterosexual,Submisive,Nobody,15,before_5_days,6.9.2012,0,00:00,2,0,0,,unknown_risk
10015,male,"59,2",M,Non_Verified,Heterosexual,Dominant,Nobody,0,before_3_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10016,male,"37,6",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
1002,male,"32,2",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_2008_days,21.5.2010,0,00:00,0,0,0,,unknown_risk
10020,male,28,A,Non_Verified,bisexual,Switch,Nobody,0,before_1656_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10021,male,"48,2",N,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10022,female,"25,9",J,Non_Verified,Heterosexual,Submisive,Nobody,3,before_1422_days,6.9.2012,3,00:00,0,0,0,,unknown_risk
10023,male,"45,7",E,Non_Verified,Heterosexual,Dominant,Nobody,0,before_352_days,6.9.2012,0,00:06,0,0,0,,unknown_risk
10024,male,"33,1",E,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10025,male,57,B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10026,male,"48,4",F,Non_Verified,bisexual,Submisive,Men_and_Women,a,before_1321_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10027,male,"31,1",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10028,male,"34,3",A,Non_Verified,bicurious,Switch,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10029,male,"43,4",A,Non_Verified,bisexual,Switch,Nobody_but_maybe,10,before_22_days,6.9.2012,10,68:13:00,0,0,0,,unknown_risk
10030,male,"37,1",D,Non_Verified,Heterosexual,Dominant,Nobody,0,before_531_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10032,male,39,D,Non_Verified,Heterosexual,Dominant,Women,18,before_308_days,6.9.2012,4,16:01,1,0,0,,unknown_risk
10033,male,"35,5",G,Non_Verified,Heterosexual,Dominant,Women,0,before_3_days,6.9.2012,0,61:12:00,0,0,0,20088,unknown_risk
10035,female,"41,5",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1690_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10036,male,"38,8",A,Non_Verified,bisexual,Dominant,Men_and_Women,30,before_902_days,6.9.2012,0,00:37,0,0,4,8191,unknown_risk
10039,male,"40,9",A,Non_Verified,Heterosexual,Submisive,,15,before_306_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10041,female,"43,9",F,Non_Verified,bisexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10043,male,"47,7",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10044,male,"38,3",A,Non_Verified,Heterosexual,Switch,,0,before_744_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10045,male,"41,6",A,Non_Verified,bicurious,Submisive,Men_and_Women,0,before_253_days,6.9.2012,0,00:00,1,0,0,,unknown_risk
10046,male,"34,3",A,Non_Verified,Heterosexual,Switch,Women,0,before_8_days,6.9.2012,0,00:00,2,0,0,,unknown_risk
10047,male,50,B,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1694_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10048,female,27,A,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10049,male,"31,1",A,Non_Verified,bisexual,Dominant,Women,15,before_71_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10053,female,"26,2",B,Non_Verified,Heterosexual,Switch,Men,73,before_123_days,6.9.2012,96,01:56,0,0,0,"11,356,241,981,060,500,000,000,000,000,000,000",unknown_risk
10054,male,"43,2",L,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,00:00,0,0,0,,unknown_risk
10055,male,"33,1",B,Non_Verified,Heterosexual,Switch,Nobody,0,before_1283_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10057,female,"29,5",A,Non_Verified,bicurious,Switch,Nobody,0,before_1472_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10058,male,"53,3",L,Non_Verified,Heterosexual,Switch,Nobody,0,before_617_days,7.9.2012,0,00:02,0,0,0,,unknown_risk
10059,female,"44,5",C,Non_Verified,bisexual,Submisive,Nobody,0,before_1396_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10061,male,"42,3",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1695_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10062,female,28,B,Non_Verified,bicurious,Switch,Nobody,0,before_1695_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10064,male,"37,1",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1695_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10065,male,"38,9",H,Non_Verified,Heterosexual,Switch,Nobody,0,before_1695_days,7.9.2012,0,01:54,0,0,0,,unknown_risk
10066,male,"28,8",A,Non_Verified,bicurious,Submisive,Nobody,0,before_1695_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10067,male,"42,4",M,Non_Verified,Heterosexual,Switch,Women,0,before_1059_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10068,male,"36,8",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1194_days,7.9.2012,0,00:35,0,0,0,,unknown_risk
10069,male,"37,1",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1695_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10075,male,"28,1",E,Non_Verified,bisexual,Submisive,Nobody,0,before_1328_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10076,male,"43,3",F,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1695_days,7.9.2012,0,00:00,1,0,0,,unknown_risk
10077,female,"30,3",A,Non_Verified,Heterosexual,Submisive,Men,0,before_1678_days,7.9.2012,0,04:23,0,0,0,,unknown_risk
10078,male,"43,3",K,Non_Verified,Heterosexual,Switch,Nobody,0,before_1341_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10079,male,"28,4",A,Non_Verified,bicurious,Switch,Nobody_but_maybe,15,before_12_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10080,female,"26,1",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1695_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10081,female,"25,9",A,Verified,Heterosexual,Submisive,Nobody_but_maybe,115,before_17_days,7.9.2012,0,87:55:00,0,0,0,"94,836,987",unknown_risk
10083,male,"41,1",M,Non_Verified,Heterosexual,Dominant,Nobody,0,before_770_days,7.9.2012,0,00:00,0,0,0,,unknown_risk
10085,male,43,K,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1694_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10087,female,"36,5",F,Non_Verified,Heterosexual,Submisive,Men,21,before_1085_days,8.9.2012,6,06:54,0,0,0,"18,334,675,714,306,100,000,000",unknown_risk
10089,male,"46,6",F,Non_Verified,Heterosexual,Switch,Nobody,0,before_1694_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10090,male,"33,6",A,Non_Verified,Homosexual,Submisive,Nobody,0,before_1683_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10091,male,"39,1",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1680_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10092,female,"30,4",A,Non_Verified,bisexual,Switch,Nobody,81,before_112_days,8.9.2012,29,00:18,0,2,2,"5,245,301,242,730,140,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",unknown_risk
10095,male,"34,3",A,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,0,before_1_days,8.9.2012,0,05:24,0,0,0,"65,972,054,688,026,800,000,000,000,000,000",unknown_risk
10096,male,"33,3",K,Non_Verified,Heterosexual,Dominant,Nobody,15,before_368_days,8.9.2012,0,00:07,0,0,0,,unknown_risk
10099,male,"52,3",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_47_days,8.9.2012,0,00:01,0,0,0,,unknown_risk
101,male,"36,4",B,Non_Verified,Heterosexual,Dominant,Women,0,before_1479_days,11.11.2009,0,00:00,0,0,0,,unknown_risk
10102,male,"39,1",F,Non_Verified,bisexual,Switch,Nobody,0,before_1694_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10105,male,34,A,Non_Verified,bicurious,Submisive,Men_and_Women,15,before_1689_days,8.9.2012,0,00:00,1,0,0,,unknown_risk
10106,female,"28,2",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1253_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10107,male,"37,3",A,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1592_days,8.9.2012,0,00:05,0,0,0,,unknown_risk
10109,male,"44,4",B,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1694_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10110,female,"25,5",A,Non_Verified,bisexual,Switch,Nobody,34,before_353_days,8.9.2012,4,445:00:00,0,0,0,"319,920,394,195,581,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",unknown_risk
10111,male,"29,2",A,Non_Verified,Heterosexual,Submisive,Nobody,0,before_80_days,8.9.2012,0,00:00,0,0,0,,unknown_risk
10113,female,"26,2",L,Non_Verified,bisexual,Switch,Nobody,50,before_1606_days,9.9.2012,0,00:00,0,0,0,,unknown_risk
10114,male,"59,1",A,Non_Verified,Homosexual,Dominant,Nobody,0,before_220_days,9.9.2012,0,00:00,0,0,0,,unknown_risk
10115,female,"48,2",A,Non_Verified,Heterosexual,Submisive,Nobody,15,before_184_days,9.9.2012,0,00:01,0,0,0,4072,unknown_risk
10117,female,"49,7",B,Non_Verified,bicurious,Submisive,Nobody,15,before_1343_days,9.9.2012,0,00:39,0,0,0,"68,459,236",unknown_risk
10118,male,"40,8",J,Non_Verified,bisexual,Switch,Nobody,0,before_1622_days,9.9.2012,0,00:00,0,0,0,,unknown_risk
10119,male,"41,2",L,Non_Verified,bicurious,Submisive,Nobody,15,before_49_days,9.9.2012,0,00:00,1,0,0,,unknown_risk
10120,male,"35,9",G,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1693_days,9.9.2012,0,00:00,0,0,0,,unknown_risk
10122,male,"38,2",A,Non_Verified,Heterosexual,Dominant,Nobody,50,before_1216_days,9.9.2012,0,00:00,0,0,0,,unknown_risk
